DATE,TIME,STREET1,STREET2,ROAD_CLASS,DISTRICT,LATITUDE,LONGITUDE,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INITDIR,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,PEDESTRIAN,SPEEDING,NEIGHBOURHOOD_158,DIVISION
12/10/2021 10:00:00 AM,2345,LAKE SHORE BLVD E,LOWER JARVIS ST,Major Arterial,Scarborough,43.645503,-79.369815,Non Intersection,Traffic Signal,Clear,Dark,Dry,1,Pedestrian Collisions,Driver,unknown,East,Going Ahead,Exceeding Speed Limit,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,St Lawrence-East Bayfront-The Islands,D51
12/11/2021 10:00:00 AM,1132,MIDLAND AVE,BROADBENT AVE,Major Arterial,Scarborough,43.738864,-79.259937,At Intersection,Traffic Signal,Clear,Daylight,Wet,1,Pedestrian Collisions,Pedestrian,65 to 69,West,Unknown,Unknown,Unknown,Vehicle is going straight thru inter.while ped cross with ROW,Crossing with right of way,Unknown,Unknown,Yes,No,Eglinton East,D41
12/11/2021 10:00:00 AM,1132,MIDLAND AVE,BROADBENT AVE,Major Arterial,Scarborough,43.738864,-79.259937,At Intersection,Traffic Signal,Clear,Daylight,Wet,1,Pedestrian Collisions,Driver,30 to 34,North,Going Ahead,Disobeyed Traffic Control,"Ability Impaired, Alcohol",Unknown,Unknown,Unknown,Unknown,Yes,No,Eglinton East,D41
12/12/2021 10:00:00 AM,1930,3805 SHEPPARD AVE E,Unknown,Major Arterial,Scarborough,43.782389,-79.29182,Non Intersection,No Control,Strong wind,"Dark, artificial",Dry,1,Pedestrian Collisions,Pedestrian,80 to 84,South,Unknown,Unknown,Unknown,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Inattentive,Unknown,Yes,No,Tam O'Shanter-Sullivan,D42
12/12/2021 10:00:00 AM,1930,3805 SHEPPARD AVE E,Unknown,Major Arterial,Scarborough,43.782389,-79.29182,Non Intersection,No Control,Strong wind,"Dark, artificial",Dry,1,Pedestrian Collisions,Driver,35 to 39,East,Going Ahead,Other,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Tam O'Shanter-Sullivan,D42
12/18/2021 10:00:00 AM,10,LAWRENCE AVE E,PHARMACY AVE,Major Arterial,Scarborough,43.74317,-79.304607,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,1,Turning Movement,Driver,55 to 59,West,Turning Left,Driving Properly,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,Wexford/Maryvale,D41
12/18/2021 10:00:00 AM,10,LAWRENCE AVE E,PHARMACY AVE,Major Arterial,Scarborough,43.74317,-79.304607,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,1,Turning Movement,Driver,15 to 19,East,Going Ahead,Exceeding Speed Limit,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,Wexford/Maryvale,D41
12/18/2021 10:00:00 AM,10,LAWRENCE AVE E,PHARMACY AVE,Major Arterial,Scarborough,43.74317,-79.304607,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,1,Turning Movement,Passenger,20 to 24,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,Wexford/Maryvale,D41
12/22/2021 10:00:00 AM,1353,MCCOWAN RD,ALTON TOWERS CRCL,Major Arterial,Scarborough,43.820834,-79.273273,Non Intersection,No Control,Snow,Daylight,Wet,1,SMV Other,Driver,65 to 69,North,Going Ahead,Lost control,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,Milliken,D42
12/26/2021 10:00:00 AM,1402,YONGE ST,RICHMOND ST E,Major Arterial,Toronto and East York,43.651618,-79.378948,At Intersection,Traffic Signal,Clear,Daylight,Dry,1,Pedestrian Collisions,Pedestrian,0 to 4,Unknown,Unknown,Unknown,Unknown,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal,Unknown,Yes,No,Downtown Yonge East,D51
12/26/2021 10:00:00 AM,1402,YONGE ST,RICHMOND ST E,Major Arterial,Toronto and East York,43.651618,-79.378948,At Intersection,Traffic Signal,Clear,Daylight,Dry,1,Pedestrian Collisions,Pedestrian,15 to 19,Unknown,Unknown,Unknown,Unknown,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal,Unknown,Yes,No,Downtown Yonge East,D51
12/26/2021 10:00:00 AM,1402,YONGE ST,RICHMOND ST E,Major Arterial,Toronto and East York,43.651618,-79.378948,At Intersection,Traffic Signal,Clear,Daylight,Dry,1,Pedestrian Collisions,Pedestrian,45 to 49,Unknown,Unknown,Unknown,Unknown,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal,Unknown,Yes,No,Downtown Yonge East,D51
